iter	Passed	Remaining
572	13324	9929
573	13342	9902
574	13361	9875
575	13379	9849
576	13397	9821
577	13415	9794
578	13432	9766
579	13450	9739
580	13469	9713
581	13490	9688
582	13510	9663
583	13530	9638
584	13549	9612
585	13569	9586
586	13589	9561
587	13611	9537
588	13632	9512
589	13655	9489
590	13676	9464
591	13696	9439
592	13716	9414
593	13735	9388
594	13753	9361
595	13772	9335
596	13794	9311
597	13814	9286
598	13836	9263
599	13857	9238
600	13877	9213
601	13897	9188
602	13916	9162
603	13936	9136
604	13954	9110
605	13973	9084
606	13992	9059
607	14010	9032
608	14029	9007
609	14084	9005
610	14110	8983
611	14133	8960
612	14154	8935
613	14177	8912
614	14200	8889
615	14219	8864
616	14237	8837
617	14255	8811
618	14280	8790
619	14304	8767
620	14327	8744
621	14348	8719
622	14369	8695
623	14390	8670
624	14410	8646
625	14434	8624
626	14456	8600
627	14476	8575
628	14498	8551
629	14518	8526
630	14538	8501
631	14558	8476
632	14577	8451
633	14596	8426
634	14616	8401
635	14636	8377
636	14662	8355
637	14684	8332
638	14707	8309
639	14730	8285
640	14752	8262
641	14776	8239
642	14800	8217
643	14827	8196
644	14852	8174
645	14874	8151
646	14900	8129
647	14922	8106
648	14944	8082
649	14968	8060
650	14994	8038
651	15022	8018
652	15046	7995
653	15071	7973
654	15096	7951
655	15123	7930
656	15143	7906
657	15164	7882
658	15190	7860
659	15210	7835
660	15230	7811
661	15251	7787
662	15273	7763
663	15295	7739
664	15322	7718
665	15350	7698
666	15374	7675
667	15398	7653
668	15417	7628
669	15436	7603
670	15454	7577
671	15471	7551
672	15489	7526
673	15511	7502
674	15533	7479
675	15559	7457
676	15578	7432
677	15597	7407
678	15615	7382
679	15635	7358
680	15660	7335
681	15680	7311
682	15704	7289
683	15724	7264
684	15745	7240
685	15763	7215
686	15782	7190
687	15800	7165
688	15818	7140
689	15837	7115
690	15856	7090
691	15874	7065
692	15892	7040
693	15912	7016
694	15930	6991
695	15949	6966
696	15968	6941
697	15987	6917
698	16006	6892
699	16026	6868
700	16045	6843
701	16066	6820
702	16085	6795
703	16106	6772
704	16126	6747
705	16146	6723
706	16166	6699
707	16188	6676
708	16207	6652
709	16225	6627
710	16245	6603
711	16265	6579
712	16284	6555
713	16305	6531
714	16326	6507
715	16345	6483
716	16363	6458
717	16383	6434
718	16403	6410
719	16423	6386
720	16440	6362
721	16458	6337
722	16477	6312
723	16495	6288
724	16513	6263
725	16533	6239
726	16551	6215
727	16571	6191
728	16590	6167
729	16612	6144
730	16633	6121
731	16698	6113
732	16735	6096
733	16765	6075
734	16791	6054
735	16817	6032
736	16842	6010
737	16866	5987
738	16890	5965
739	16911	5941
740	16938	5920
741	16961	5897
742	16987	5875
743	17009	5852
744	17029	5829
745	17052	5806
746	17071	5782
747	17090	5757
748	17109	5733
749	17129	5709
750	17148	5685
751	17169	5662
752	17189	5638
753	17210	5615
754	17232	5592
755	17250	5567
756	17269	5543
757	17288	5519
758	17306	5495
759	17327	5471
760	17349	5448
761	17370	5425
762	17392	5402
763	17414	5379
764	17437	5356
765	17463	5334
766	17485	5311
767	17506	5288
768	17526	5264
769	17549	5241
770	17574	5219
771	17597	5197
772	17622	5175
773	17649	5153
774	17672	5130
775	17691	5106
776	17712	5083
777	17735	5060
778	17759	5038
779	17782	5015
780	17805	4992
781	17824	4968
782	17843	4945
783	17864	4921
784	17882	4897
785	17904	4874
786	17923	4851
787	17945	4828
788	17970	4805
789	17994	4783
790	18015	4760
791	18037	4737
792	18064	4715
793	18088	4692
794	18112	4670
795	18140	4649
796	18160	4625
797	18179	4601
798	18198	4578
799	18216	4554
800	18234	4530
801	18253	4506
802	18272	4482
803	18292	4459
804	18311	4435
805	18330	4412
806	18349	4388
807	18368	4364
808	18390	4341
809	18413	4319
810	18433	4295
811	18453	4272
812	18473	4249
813	18494	4226
814	18526	4205
815	18550	4182
816	18568	4159
817	18588	4135
818	18608	4112
819	18627	4089
820	18646	4065
821	18665	4041
822	18686	4018
823	18708	3996
824	18729	3973
825	18749	3949
826	18768	3926
827	18787	3902
828	18804	3878
829	18822	3855
830	18843	3832
831	18863	3809
832	18884	3785
833	18903	3762
834	18923	3739
835	18942	3716
836	18963	3692
837	18983	3669
838	19003	3646
839	19023	3623
840	19042	3600
841	19060	3576
842	19080	3553
843	19099	3530
844	19119	3507
845	19137	3483
846	19157	3460
847	19176	3437
848	19195	3413
849	19214	3390
850	19235	3367
851	19275	3348
852	19305	3326
853	19333	3305
854	19363	3283
855	19393	3262
856	19421	3240
857	19447	3218
858	19475	3196
859	19504	3175
860	19532	3153
861	19559	3131
862	19586	3109
863	19614	3087
864	19642	3065
865	19671	3043
866	19698	3021
867	19726	2999
868	19756	2978
869	19783	2956
870	19809	2933
871	19836	2911
872	19863	2889
873	19890	2867
874	19916	2845
875	19942	2822
876	19965	2800
877	19985	2777
878	20009	2754
879	20030	2731
880	20055	2708
881	20078	2686
882	20102	2663
883	20124	2640
884	20150	2618
885	20172	2595
886	20198	2573
887	20224	2550
888	20247	2528
889	20268	2505
890	20292	2482
891	20315	2459
892	20337	2436
893	20359	2413
894	20381	2391
895	20406	2368
896	20430	2345
897	20455	2323
898	20476	2300
899	20501	2277
900	20524	2255
901	20546	2232
902	20573	2209
903	20598	2187
904	20624	2164
905	20646	2142
906	20667	2119
907	20686	2096
908	20707	2073
909	20726	2049
910	20744	2026
911	20761	2003
912	20779	1980
913	20798	1956
914	20816	1933
915	20834	1910
916	20854	1887
917	20872	1864
918	20892	1841
919	20910	1818
920	20931	1795
921	20953	1772
922	20978	1750
923	21003	1727
924	21027	1704
925	21046	1681
926	21064	1658
927	21085	1635
928	21105	1612
929	21126	1590
930	21145	1567
931	21164	1544
932	21184	1521
933	21202	1498
934	21222	1475
935	21240	1452
936	21258	1429
937	21277	1406
938	21296	1383
939	21314	1360
940	21333	1337
941	21352	1314
942	21370	1291
943	21388	1268
944	21406	1245
945	21424	1222
946	21443	1200
947	21462	1177
948	21480	1154
949	21500	1131
950	21518	1108
951	21536	1085
952	21554	1063
953	21573	1040
954	21591	1017
955	21609	994
956	21628	971
957	21647	949
958	21666	926
959	21686	903
960	21710	881
961	21731	858
962	21751	835
963	21770	813
964	21791	790
965	21810	767
966	21832	745
967	21853	722
968	21884	700
969	21914	677
970	21942	655
971	21968	632
972	21993	610
973	22020	587
974	22043	565
975	22072	542
976	22101	520
977	22122	497
978	22146	475
979	22169	452
980	22189	429
981	22212	407
982	22236	384
983	22259	361
984	22283	339
985	22305	316
986	22330	294
987	22354	271
988	22376	248
989	22400	226
990	22428	203
991	22463	181
992	22488	158
993	22511	135
994	22532	113
995	22556	90
996	22586	67
997	22612	45
998	22635	22
999	22657	0
