iter	MultiClass
188	0.2428686687
189	0.2415790112
190	0.2400195443
191	0.2385260028
192	0.237421987
193	0.2365514921
194	0.2356767384
195	0.234181633
196	0.2331476458
197	0.2318664652
198	0.2314027559
199	0.2305246446
200	0.2299991506
201	0.2292443473
202	0.228654736
203	0.2275117845
204	0.2265867183
205	0.2245832586
206	0.2226894021
207	0.2210428672
208	0.2201314991
209	0.2189804078
210	0.2171135452
211	0.2162854442
212	0.2154574745
213	0.2145799988
214	0.2129708781
215	0.2119655939
216	0.2102056241
217	0.2098238667
218	0.2089394359
219	0.2067626932
220	0.2059737946
221	0.2050784399
222	0.2041379763
223	0.2033565738
224	0.2017157109
225	0.2008922533
226	0.2003198094
227	0.1994499458
228	0.1985235584
229	0.1968168642
230	0.1959955854
231	0.19519152
232	0.1942575588
233	0.1936292418
234	0.1930912304
235	0.1923931631
236	0.1919244353
237	0.1909021494
238	0.1904229307
239	0.1891524845
240	0.1880284308
241	0.1868176956
242	0.1855400475
243	0.184548515
244	0.1838525319
245	0.1835767671
246	0.1818608582
247	0.1809168939
248	0.1797741132
249	0.1788063574
250	0.1782800039
251	0.1779344597
252	0.176784685
253	0.1759066337
254	0.1755622021
255	0.174297956
256	0.1732768607
257	0.1728209435
258	0.1721068457
259	0.1710977992
260	0.1705597116
261	0.169579107
262	0.1686014179
263	0.1681433721
264	0.1673340095
265	0.1664408199
266	0.1656103083
267	0.1646675169
268	0.1635595401
269	0.1630134499
270	0.1625216538
271	0.1618879441
272	0.1612227111
273	0.1605222696
274	0.1595055922
275	0.1590572199
276	0.1582720074
277	0.1573749294
278	0.1567576265
279	0.1560007671
280	0.1549042241
281	0.1544233069
282	0.1537684319
283	0.1528699601
284	0.1522846225
285	0.1515767131
286	0.1512039927
287	0.1499868993
288	0.148937564
289	0.1485627183
290	0.1479582995
291	0.1472122272
292	0.1461771811
293	0.1455065173
294	0.1450986139
295	0.1444958316
296	0.1440137101
297	0.1438753625
298	0.1429827396
299	0.1426894586
300	0.1418755362
301	0.1413315383
302	0.1409708294
303	0.140230044
304	0.1397154931
305	0.1391154375
306	0.1385162225
307	0.1380057067
308	0.1376474594
309	0.1369763279
310	0.1362451896
311	0.1358920301
312	0.1354839063
313	0.1345875139
314	0.1339510933
315	0.1332439353
316	0.1328102254
317	0.1326565076
318	0.1320520798
319	0.1313893352
320	0.1308576482
321	0.1305429231
322	0.1300913093
323	0.1294205072
324	0.1286537687
325	0.1281550084
326	0.1276433071
327	0.1273479093
328	0.1268502033
329	0.1264311796
330	0.1261535464
331	0.1258512587
332	0.1254900169
333	0.1249937809
334	0.1248388506
335	0.124221954
336	0.1238073896
337	0.1236781714
338	0.1231928575
339	0.1229268345
340	0.1221743364
341	0.1218627331
342	0.1215755625
343	0.1213747858
344	0.1211079215
345	0.1205514826
346	0.1198168909
347	0.1194363215
348	0.1191479862
349	0.118984397
350	0.1186062288
351	0.1179618903
352	0.117505882
353	0.1170513493
354	0.1167017592
355	0.1162176992
356	0.115989688
357	0.1158182006
358	0.1155309721
359	0.1153004135
360	0.1150339811
361	0.1143565574
362	0.1136814247
363	0.1134494334
364	0.1131856282
365	0.1124765773
366	0.1120114493
367	0.111405688
368	0.11068278
369	0.1100965002
370	0.1091826233
371	0.1088280671
372	0.1084500421
373	0.1082225554
374	0.108130243
375	0.1079392556
376	0.1077628164
377	0.1072508977
378	0.1070421695
379	0.1062998966
380	0.1056039359
381	0.1054502811
382	0.1051424876
383	0.1047024238
384	0.1043899694
385	0.1039014784
386	0.1036478489
387	0.1033102269
388	0.102969703
389	0.1027730608
390	0.1025288743
391	0.1022923515
392	0.1020875447
393	0.1016157219
394	0.1012938076
395	0.1011386311
396	0.1009188328
397	0.1007716242
398	0.100616335
399	0.1003576339
400	0.09979047979
401	0.09925094392
402	0.09893397763
403	0.09849237486
404	0.09789733076
405	0.09739503255
406	0.09708467719
407	0.09690922175
408	0.09661742987
409	0.0964267766
410	0.09630003805
411	0.09615603717
412	0.09546988776
413	0.09497186284
414	0.09458750362
415	0.09413349761
416	0.09404368177
417	0.0937790361
418	0.09329395496
419	0.09295555156
420	0.09264514892
421	0.09256140352
422	0.09212214161
423	0.09177506876
424	0.09148931046
425	0.09108510909
426	0.09085863621
427	0.0906757225
428	0.09027329192
429	0.0899798029
430	0.08986660938
431	0.08946349879
432	0.08912714299
433	0.0887680694
434	0.08861539809
435	0.08833404834
436	0.08784708587
437	0.08728899926
438	0.08707527981
439	0.08651842791
440	0.08632819892
441	0.08608170223
442	0.0858054319
443	0.08569333898
444	0.0855444103
445	0.08522309413
446	0.08471941349
447	0.08438971044
448	0.08410336529
449	0.083736248
450	0.08358348502
451	0.08335590618
452	0.08312594844
453	0.08290145417
454	0.08239276903
455	0.08192151349
456	0.08162368397
457	0.08139899918
458	0.08118704712
459	0.08098322792
460	0.08085505831
461	0.08051274035
462	0.08027039725
463	0.08008711131
464	0.07989707226
465	0.07980449855
466	0.07975217487
467	0.07962226657
468	0.07945736884
469	0.07899884272
470	0.07856639115
471	0.07836505959
472	0.07816646364
473	0.07810473822
474	0.07787589569
475	0.07776840507
476	0.07767503742
477	0.07730500939
478	0.0770705202
479	0.07687646139
480	0.07666108238
481	0.07628973554
482	0.0760959232
483	0.07574887772
484	0.07531568728
485	0.0751405347
486	0.07497297091
487	0.07457838103
488	0.0743344758
489	0.0739803195
490	0.07365037643
491	0.07348585282
492	0.07311782679
493	0.07298346664
494	0.07270521068
495	0.07235173775
496	0.07204482933
497	0.07199812358
498	0.07176818624
499	0.07154970199
500	0.07138671305
501	0.07111687274
502	0.07095512667
503	0.07081620589
504	0.07048911457
505	0.07046309874
506	0.07041737771
507	0.07036890505
508	0.07008964338
509	0.0698405472
510	0.06964372255
511	0.06948442521
512	0.06944327487
513	0.06922936594
514	0.06894566182
515	0.06866045852
516	0.06856534632
517	0.06833679881
518	0.06827720673
519	0.06815211378
520	0.06784106413
521	0.06758969286
522	0.06746429942
523	0.06731163544
524	0.06717526085
525	0.06710761897
526	0.06690202649
527	0.06679172462
528	0.06664742304
529	0.06656609049
530	0.06643006352
531	0.06635255829
532	0.06629355668
533	0.06592350534
534	0.06568491922
535	0.06541289416
536	0.06528357714
537	0.06513225769
538	0.06497850558
539	0.06475748635
540	0.06451507357
541	0.06430985234
542	0.06410021649
543	0.06377911348
544	0.06375192196
545	0.06359769051
546	0.06350475467
547	0.0633692365
548	0.06306938
549	0.06295681782
550	0.06291859532
551	0.06282425858
552	0.06258055127
553	0.06237932147
554	0.06198359527
555	0.06181211917
556	0.06178131275
557	0.06168680411
558	0.06128458701
559	0.06110076011
560	0.06101969098
561	0.06086689098
562	0.06081576775
563	0.06051439264
564	0.06039654574
565	0.06029266418
566	0.06004817302
567	0.05992991034
568	0.05984084408
569	0.05979527039
570	0.05959933458
571	0.05928182302
572	0.05919210584
573	0.05902397359
574	0.05900670099
575	0.05887401295
576	0.05870878316
577	0.05854450072
578	0.05843141171
579	0.05827028037
580	0.05816260782
581	0.05803608069
582	0.05783289197
583	0.0575510973
584	0.05741902974
585	0.05716156132
586	0.05706835318
587	0.05700411572
588	0.05685888587
589	0.05667712519
590	0.05655874006
591	0.05653449348
592	0.05651308137
593	0.05638319806
594	0.05627599906
595	0.05601501315
596	0.05596744493
597	0.05590599533
598	0.05583093819
599	0.05566434803
600	0.05542806269
601	0.05537093139
602	0.05521421775
603	0.05509675567
604	0.05488496154
605	0.05474218877
606	0.05452465285
607	0.05439456249
608	0.05432871366
609	0.05408247148
610	0.05398986632
611	0.05386816059
612	0.05382266159
613	0.05372695108
614	0.05359330295
615	0.05349863777
616	0.05348030016
617	0.0533265284
618	0.05317171393
619	0.05295604179
620	0.05287598066
621	0.05257135454
622	0.05227746655
623	0.05209804284
624	0.05190911286
625	0.05185810751
626	0.05177582699
627	0.05173262275
628	0.05154016393
629	0.05149595599
630	0.05139036553
631	0.05126996492
632	0.0511241115
633	0.05093397669
634	0.05081887025
635	0.0506707886
636	0.05053801067
637	0.05052138806
638	0.05034167698
639	0.05030798919
640	0.05017988393
641	0.05000204557
642	0.04984891276
643	0.04964620861
644	0.04961035316
645	0.04940949201
646	0.049347102
647	0.04920707837
648	0.04912113983
649	0.0490412586
650	0.04887295613
651	0.04879845165
652	0.04849715573
653	0.04835685215
654	0.04817549554
655	0.04805318276
656	0.04794955851
657	0.04789932558
658	0.04781585584
659	0.04765991432
660	0.04757983868
661	0.04739707415
662	0.04722294675
663	0.0470309786
664	0.04682532345
665	0.04677788825
666	0.04651412223
667	0.04645721189
668	0.04640850023
669	0.04630906235
670	0.04620307027
671	0.04596786907
672	0.04587267698
673	0.04579440696
674	0.04572225695
675	0.04559627954
676	0.04544679295
677	0.04530107238
678	0.04510363669
679	0.04505081469
680	0.04490906955
681	0.04468697466
682	0.04462534709
683	0.0445944461
684	0.04453131171
685	0.04437511684
686	0.04434651801
687	0.04416080032
688	0.04396814056
689	0.04390493731
690	0.04380613343
691	0.0437780971
692	0.04370891911
693	0.04362886632
694	0.0435566284
695	0.04345427807
696	0.04343050793
697	0.0432440701
698	0.04306480972
699	0.04295187698
700	0.04281891288
701	0.04272712238
702	0.04271770194
703	0.04247969472
704	0.04245039407
705	0.04227630296
706	0.04218354278
707	0.04205076601
708	0.04193774877
709	0.04184535836
710	0.04172956129
711	0.04169522501
712	0.04164802144
713	0.04151434385
714	0.04140795305
715	0.04138860801
716	0.04133811917
717	0.04121602695
718	0.04116606053
719	0.04110291331
720	0.04103770212
721	0.04103343912
722	0.04102415623
723	0.04092957547
724	0.04082219251
725	0.04073539833
726	0.04065900659
727	0.0406295875
728	0.04060914094
729	0.04058631042
730	0.04054561649
731	0.04053481775
732	0.04050608853
733	0.04049888468
734	0.04047356174
735	0.04043116804
736	0.04036738297
737	0.04032082576
738	0.04025810689
739	0.04013430966
740	0.04004839254
741	0.0399946131
742	0.03991753174
743	0.03985584236
744	0.0398194341
745	0.03970436425
746	0.03966215885
747	0.03964739702
748	0.03951713211
749	0.03945799806
750	0.03934368981
751	0.0393116002
752	0.03919941394
753	0.03912890248
754	0.03909774861
755	0.03906032991
756	0.03892729346
757	0.03885757668
758	0.03881320875
759	0.03869937101
760	0.03856700644
761	0.03853641789
762	0.03851674556
763	0.03839260813
764	0.03828568045
765	0.03822036749
766	0.03819540345
767	0.03813308869
768	0.03810486484
769	0.03807165088
770	0.03805909046
771	0.03796330784
772	0.0379212394
773	0.03787018498
774	0.0378335628
775	0.03761883643
776	0.03757884229
777	0.03752982144
778	0.03749082195
779	0.03742965949
780	0.03728468348
781	0.03722835977
782	0.03722194279
783	0.03710346418
784	0.03709737708
785	0.03698734356
786	0.03686026868
787	0.03682939881
788	0.03671102758
789	0.03663635737
790	0.03660671532
791	0.03657451227
792	0.03653850133
793	0.03653230303
794	0.03652687634
795	0.03647397699
796	0.03644179929
797	0.03639669837
798	0.03635652742
799	0.03627398122
800	0.03622245235
801	0.03608973036
802	0.03603933404
803	0.03595324568
804	0.03592078616
805	0.03576808784
806	0.03569564979
807	0.03560088219
808	0.03554878042
809	0.03552090239
810	0.03549780255
811	0.03537391832
812	0.03533608592
813	0.0352172513
814	0.03519229202
815	0.03513710825
816	0.03501195477
817	0.03493745023
818	0.03478767549
819	0.0346792643
820	0.03459085636
821	0.03452324168
822	0.03445401042
823	0.03427164696
824	0.03418811042
825	0.03403857951
826	0.03396704091
827	0.03388772947
828	0.03385132763
829	0.03381166863
830	0.03377358719
831	0.03376839517
832	0.03372515066
833	0.03369222756
834	0.03365368747
835	0.03358990141
836	0.03357631139
837	0.03355205413
838	0.03350613496
839	0.03344196953
840	0.03339502919
841	0.03337081641
842	0.03332395191
843	0.03323852541
844	0.03313559508
845	0.03310330969
846	0.03309094134
847	0.03305032228
848	0.03296349222
849	0.03283670403
850	0.03281387084
851	0.03276187913
852	0.03275182351
853	0.03268150289
854	0.03259273718
855	0.03256018427
856	0.03247121844
857	0.03243586435
858	0.03235325278
859	0.03231319581
860	0.03230495231
861	0.03223944597
862	0.03216624941
863	0.03206160558
864	0.031951018
865	0.03194693527
866	0.03185834127
867	0.03170321347
868	0.03157038079
869	0.03156179538
870	0.03146638692
871	0.03138852258
872	0.03133563715
873	0.03120691532
874	0.03118824053
875	0.03111661235
876	0.03102261825
877	0.03101324664
878	0.03096281866
879	0.03094580661
880	0.03090283992
881	0.03087005143
882	0.03084171936
883	0.03080890666
884	0.03075662434
885	0.03064854534
886	0.03064412652
887	0.03053972541
888	0.03049972014
889	0.0304542085
890	0.03038469788
891	0.03035436385
892	0.03032157093
893	0.0302670976
894	0.03025311805
895	0.03021679616
896	0.03018506654
897	0.03006372465
898	0.03002822553
899	0.02996643866
900	0.02995099249
901	0.02989423805
902	0.02984022058
903	0.02980049124
904	0.02977459915
905	0.02976812418
906	0.02973964013
907	0.02970257599
908	0.0296342816
909	0.02962684141
910	0.02961282119
911	0.02960888995
912	0.02960450688
913	0.02952035751
914	0.02950055892
915	0.02942360522
916	0.02939407395
917	0.02936799027
918	0.0293619224
919	0.02935223722
920	0.02929806508
921	0.02925062383
922	0.02921544735
923	0.02917474053
924	0.02909196751
925	0.0290816845
926	0.02895047043
927	0.0288748377
928	0.0288317117
929	0.02882111808
930	0.02879012095
931	0.02874658995
932	0.02867126696
933	0.0285903034
934	0.02853263145
935	0.02849897219
936	0.02847844363
937	0.02847114712
938	0.02842785987
939	0.02837301325
940	0.02831590076
941	0.02828066022
942	0.0282615704
943	0.02824975273
944	0.02819564323
945	0.02812949638
946	0.02809920583
947	0.02804755195
948	0.02791697934
949	0.02789992049
950	0.02788456759
951	0.02773182353
952	0.02772391453
953	0.02770326178
954	0.02763947128
955	0.02754722638
956	0.02750880714
957	0.02745029765
958	0.02742788678
959	0.02740435542
960	0.02735760613
961	0.0273369308
962	0.02726248321
963	0.02715499675
964	0.02710915031
965	0.02703479925
966	0.02702790337
967	0.02699883292
968	0.02697176824
969	0.02687415694
970	0.02682156739
971	0.02681706915
972	0.02680114215
973	0.02671253169
974	0.02666258755
975	0.02665529183
976	0.02659376411
977	0.02658698466
978	0.02656700093
979	0.026550692
980	0.02650113067
981	0.02648338244
982	0.02644643897
983	0.0264344323
984	0.02640257618
985	0.02636787754
986	0.02630732857
987	0.02617251148
988	0.02608509903
989	0.02607284689
990	0.02601730468
991	0.02596345972
992	0.0259361562
993	0.02589688302
994	0.02583015464
995	0.02579852992
996	0.02577326189
997	0.02576513503
998	0.02575533204
999	0.0257333281
